Symbol,Sector,Industry,Cap_Class
20MICRONS,Metals & Mining,Industrial Minerals,Small Cap
21STCENMGM,Financial Services,Other Capital Market related Services,Small Cap
360ONE,Financial Services,Stockbroking & Allied,Large Cap
3MINDIA,Diversified,Diversified,Large Cap
3PLAND,Financial Services,Investment Company,Small Cap
5PAISA,Financial Services,Stockbroking & Allied,Small Cap
63MOONS,Information Technology,Computers - Software & Consulting,Small Cap
AAATECH,Services,Consulting Services,Small Cap
AADHARHFC,Financial Services,Housing Finance Company,Mid Cap
AAREYDRUGS,Healthcare,Pharmaceuticals,Small Cap
AARON,Construction,Civil Construction,Small Cap
AARTECH,Capital Goods,Heavy Electrical Equipment,Small Cap
AARTIDRUGS,Healthcare,Pharmaceuticals,Small Cap
AARTIIND,Chemicals,Specialty Chemicals,Mid Cap
AARTIPHARM,Healthcare,Pharmaceuticals,Mid Cap
AARTISURF,Chemicals,Specialty Chemicals,Small Cap
AARVI,Services,Diversified Commercial Services,Small Cap
AAVAS,Financial Services,Housing Finance Company,Mid Cap
ABB,Capital Goods,Heavy Electrical Equipment,Large Cap
ABBOTINDIA,Healthcare,Pharmaceuticals,Large Cap
ABCAPITAL,Financial Services,Investment Company,Large Cap
ABCOTS,Textiles,Other Textile Products,Small Cap
ABDL,FMCG,Breweries & Distilleries,Mid Cap
ABFRL,Consumer Services,Speciality Retail,Mid Cap
ABLBL,consumer discretionary,textiles - products,Mid Cap
ABMINTLLTD,Services,Trading & Distributors,Small Cap
ABREL,Realty,Residential- Commercial Projects,Mid Cap
ABSLAMC,Financial Services,Asset Management Company,Large Cap
ACC,Construction Materials,Cement & Cement Products,Large Cap
ACCELYA,Information Technology,Computers - Software & Consulting,Small Cap
ACE,Capital Goods,Construction Vehicles,Mid Cap
ACI,Chemicals,Specialty Chemicals,Mid Cap
ACL,Construction Materials,Cement & Cement Products,Small Cap
ACMESOLAR,Construction,Civil Construction,Mid Cap
ACUTAAS,Financial ServHealthcareices,pharmaceuticals - indian - bulk drugs,Large Cap
ADANIENSOL,Power,Power Distribution,Large Cap
ADANIENT,Metals & Mining,Trading - Minerals,Large Cap
ADANIGREEN,Power,Power Generation,Large Cap
ADANIPORTS,Services,Port & Port services,Large Cap
ADANIPOWER,Power,Integrated Power Utilities,Large Cap
ADFFOODS,FMCG,Packaged Foods,Small Cap
ADL,Consumer Durables,Plywood Boards/ Laminates,Small Cap
ADOR,industrials,Electrodes & Refractories,Small Cap
ADSL,Information Technology,IT Enabled Services,Small Cap
ADVANCE,Chemicals,pesticides / agrochemicals - indian,Small Cap
ADVANIHOTR,Consumer Services,Hotels & Resorts,Small Cap
ADVENTHTL,Services,Hotels & Resorts,Small Cap
ADVENZYMES,Healthcare,Biotechnology,Small Cap
AEGISLOG,"Oil, Gas & Consumable Fuels",LPG/CNG/PNG/LNG Supplier,Large Cap
AEGISVOPAK,transportation,miscellaneous,Mid Cap
AEQUS,industrials,engineering,Mid Cap
AEROENTER,Metals & Mining,steel - medium / small,Small Cap
AEROFLEX,Capital Goods,Iron & Steel Products,Small Cap
AERONEU,industrials,Packaging,Small Cap
AETHER,Chemicals,Specialty Chemicals,Mid Cap
AFCONS,Construction,Civil Construction,Mid Cap
AFFLE,Information Technology,IT Enabled Services,Large Cap
AFFORDABLE,Capital Goods,Industrial Products,Small Cap
AFSL,Financial Services,Financial Institution,Small Cap
AGARIND,Chemicals,Petrochemicals,Small Cap
AGARWALEYE,Financial ServHealthcareices,healthcare,Mid Cap
AGI,Capital Goods,Packaging,Small Cap
AGIIL,Realty,"Residential, Commercial Projects",Small Cap
AGRITECH,FMCG,Other Agricultural Products,Small Cap
AGROPHOS,Chemicals,Fertilizers,Small Cap
AHCL,Chemicals,chemicals,Small Cap
AHLADA,Capital Goods,Iron & Steel Products,Small Cap
AHLEAST,Consumer Services,Hotels & Resorts,Small Cap
AHLUCONT,Construction,Civil Construction,Small Cap
AIAENG,Capital Goods,Castings & Forgings,Large Cap
AIIL,Financial Services,Non Banking Financial Company (NBFC),Mid Cap
AIROLAM,Consumer Durables,Plywood Boards/ Laminates,Small Cap
AJANTPHARM,Healthcare,Pharmaceuticals,Large Cap
AJAXENGG,industrials,engineering,Small Cap
AJMERA,Realty,"Residential, Commercial Projects",Small Cap
AKSHARCHEM,Chemicals,Dyes And Pigments,Small Cap
AKUMS,Healthcare,Pharmaceuticals,Mid Cap
AKZOINDIA,Consumer Durables,Paints,Mid Cap
ALBERTDAVD,Healthcare,Pharmaceuticals,Small Cap
ALEMBICLTD,Realty,"Residential, Commercial Projects",Small Cap
